ENT,Region,P2_desktop,P2_laptop,P2_tv,P2_tablet,P2_smartphone,P2_internet,FACTOR,P2_desktop_w,P2_laptop_w,P2_tv_w,P2_tablet_w,P2_smartphone_w,P2_internet_w
1,Northcenter,62.0,104.0,172.0,65.0,209.0,167.0,286576,75564.0,128791.0,221224.0,83552.0,269764.0,208761.0
2,Northwest,44.0,74.0,124.0,35.0,136.0,123.0,795151,228622.0,365148.0,665199.0,184284.0,751142.0,638939.0
3,Northwest,22.0,51.0,95.0,25.0,114.0,82.0,193859,33323.0,74882.0,153594.0,40117.0,183034.0,129611.0
4,Southeast,41.0,90.0,137.0,48.0,169.0,118.0,193629,37580.0,91133.0,151139.0,52822.0,185329.0,120971.0
5,Northeast,25.0,67.0,122.0,40.0,147.0,112.0,632127,99420.0,263505.0,487090.0,179613.0,588532.0,450120.0
6,West,25.0,42.0,82.0,25.0,84.0,68.0,164410,38164.0,55036.0,140854.0,39454.0,138607.0,105691.0
7,southwest,20.0,51.0,109.0,27.0,161.0,71.0,975002,89438.0,203730.0,565410.0,123351.0,825559.0,326794.0
8,Northwest,41.0,86.0,144.0,46.0,173.0,133.0,796027,168478.0,347269.0,601272.0,202785.0,735923.0,551136.0
9,Southcenter,46.0,74.0,136.0,39.0,154.0,126.0,1853176,554929.0,859997.0,1534481.0,456706.0,1819890.0,1400469.0
10,Northwest,35.0,75.0,155.0,44.0,175.0,120.0,381980,67485.0,142263.0,307987.0,88298.0,345488.0,230340.0
11,Northcenter,8.0,25.0,41.0,14.0,59.0,40.0,1127052,98491.0,330841.0,653022.0,158277.0,1074026.0,560888.0
12,southwest,21.0,40.0,88.0,14.0,121.0,79.0,742019,80901.0,171028.0,455238.0,74304.0,650058.0,397057.0
13,East,22.0,47.0,72.0,26.0,103.0,73.0,519425,99530.0,193735.0,337350.0,132445.0,483946.0,343234.0
14,West,32.0,51.0,81.0,35.0,114.0,92.0,1684885,404026.0,653739.0,1073256.0,467266.0,1555297.0,1228310.0
15,Southcenter,51.0,69.0,139.0,35.0,162.0,141.0,3487972,1007356.0,1302426.0,2798823.0,728900.0,3303064.0,2824792.0
16,West,30.0,64.0,108.0,34.0,143.0,102.0,919921,133955.0,285161.0,623851.0,162133.0,805877.0,485319.0
17,Southcenter,24.0,71.0,121.0,40.0,162.0,127.0,423812,52122.0,152774.0,291467.0,98054.0,395880.0,298025.0
18,West,29.0,78.0,139.0,51.0,180.0,129.0,282489,36512.0,94644.0,183399.0,64990.0,245641.0,171453.0
19,Northeast,31.0,53.0,97.0,38.0,105.0,92.0,1119820,273061.0,464083.0,916439.0,367164.0,991480.0,865778.0
20,southwest,20.0,46.0,86.0,15.0,123.0,72.0,741610,82060.0,147846.0,428508.0,48507.0,642979.0,304631.0
21,East,34.0,44.0,79.0,28.0,99.0,81.0,1207811,331457.0,389262.0,786140.0,286091.0,949139.0,776799.0
22,Northcenter,39.0,54.0,97.0,27.0,101.0,89.0,411021,139169.0,176651.0,337875.0,90914.0,350386.0,303068.0
23,Southeast,16.0,44.0,78.0,18.0,101.0,75.0,406611,55248.0,143879.0,283943.0,61475.0,369704.0,257956.0
24,Northcenter,23.0,41.0,81.0,26.0,92.0,63.0,569562,75749.0,190413.0,366200.0,141201.0,477541.0,245243.0
25,Northwest,23.0,68.0,111.0,35.0,147.0,95.0,616092,72404.0,246356.0,438269.0,134588.0,594888.0,356263.0
26,Northwest,26.0,58.0,72.0,23.0,99.0,69.0,627523,152475.0,328974.0,430744.0,139425.0,606836.0,418697.0
27,Southeast,16.0,32.0,71.0,18.0,90.0,45.0,514011,86623.0,132777.0,375898.0,76235.0,478698.0,203049.0
28,Northeast,15.0,39.0,93.0,21.0,108.0,73.0,837858,102677.0,240539.0,692513.0,169536.0,808277.0,516562.0
29,East,52.0,100.0,165.0,24.0,224.0,160.0,255171,45212.0,92069.0,171752.0,24729.0,236451.0,158083.0
30,East,24.0,46.0,90.0,25.0,120.0,76.0,1514357,295063.0,579075.0,1081353.0,287883.0,1455586.0,935834.0
31,Southeast,25.0,76.0,131.0,34.0,182.0,117.0,460803,57444.0,183598.0,315200.0,85236.0,445394.0,284917.0
32,Northcenter,41.0,68.0,139.0,31.0,158.0,93.0,342543,67421.0,113255.0,264762.0,53906.0,299829.0,161837.0
